word	jp_defs	pos	hanja	jp_trans
가끔가다가	たまに。ときおり	「부사」		たまに気がむいたら。
가난하다	まずしい【貧しい】。びんぼうだ【貧乏だ】	「형용사」		お金がなくて生活が苦しい。
가냘프다	1.ほっそりしている 2.かぼそい【か細い】	「형용사」		体や手足が細くて弱々しい。 声が細くて弱い。
가녀리다	1.かよわい【か弱い】。かぼそい【か細い】。よわよわしい【弱弱しい】 2.ほそい【細い】。よわい【弱い】。かぼそい【か細い】。小さい【ちいさい】	「형용사」		体の一部分がいかにも細くて弱い。 声がとても小さくて弱い。
가느다랗다	ひじょうにほそい【非常に細い】。かぼそい【か細い】	「형용사」		非常に細い。
가느스름하다		「형용사」		やや細い。少し細めだ。
가늘다	1.ほそい【細い】 2.ほそい【細い】 3.こまかい【細かい】 4.ほそい【細い】 5.かよわい【か弱い】 6.こまかい【細かい】 7.	「형용사」		物の幅が狭い、または太くなく長い。 音が弱い。 粒の大きさがとても小さい。 光、風、煙などが微かで弱い。 表情が顔に出るか出ないかわからないほど弱い。 布や網などの目が細かい。 動きが微々だ。
가능하다	かのうだ【可能だ】。できる【出来る】	「형용사」	可能하다	やることができる、可能である。
가다	1.いく 2.ながら	「보조 동사」		前の言葉の表す動作や状態・状態の変化が継続したり進行したりする意を表す「補助動詞」。 前の言葉の表す動作を時々繰り返して行う意を表す「補助動詞」。
가다가	たまに。たまには。ときおり【時折】。時たま【時たま】	「부사」		ある物事を続けている間にたまに。
가닥가닥	すじごとに【筋ごとに】	「부사」		糸や紐などがいく筋にも分かれている様子。
가당찮다	ふとうだ【不当だ】。りふじんだ【理不尽だ】。とんでもない	「형용사」	可當찮다	まったく理不尽で話にならない。
가당하다	1.だとうだ【妥当だ】 2.	「형용사」	可當하다	大体、理にかなっている。 程度やレベルなどがほぼ同じ程度だ。
가득	1.いっぱい【一杯】。いっぱいに【一杯に】。ぎっしり。ぎっしりと。なみなみ。なみなみと 2.いっぱい【一杯】。いっぱいに【一杯に】。ぎっしり。ぎっしりと。ぎっちり。ぎっちりと 3.いっぱい【一杯】。いっぱいに【一杯に】 4.いっぱい【一杯】。いっぱいに【一杯に】	「부사」		何かの数量が決められた範囲に詰まっている様子。 何かが隙間なく詰まっている様子。 においや光、音などが空間に一杯に満ちている状態。 ある感情や考えが強い様子。
가득가득	1.いっぱい 2.ぎっしり 3.いっぱい 4.いっぱい。たっぷり	「부사」		量や数がある範囲や限度でいっぱいになっているさま。 隙間がないほど物などがたくさんあるさま。 匂いや光、音などが空間に広く行き渡っている状態。 ある感情や考えが非常に強いさま。
가득하다	1.いっぱいだ【一杯だ】 2.いっぱいだ【一杯だ】 3.いっぱいだ【一杯だ】 4.いっぱいだ【一杯だ】	「형용사」		数や量が決められた範囲に溢れんばかりに満ちている。 空いている部分がないほど物事が多い。 においや光、音などが空間に満ちている。 ある感情や思いなどが強い。
가득히	1.いっぱい【一杯】。いっぱいに【一杯に】。ぎっしり。ぎっしりと。なみなみ。なみなみと  2.いっぱい【一杯】。いっぱいに【一杯に】。ぎっしり。ぎっしりと。ぎっちり。ぎっちりと 3.いっぱい【一杯】。いっぱいに【一杯に】  4.いっぱい【一杯】。いっぱいに【一杯に】	「부사」		何かの数量が決められた範囲に詰まっている様子。 何かが隙間なく詰まっている様子。 においや光、音などが空間に一杯に満ちている状態。 ある感情や考えが強い様子。
가뜩	そうでなくても。それでなくても。ただでさえ	「부사」		そうでなくても。それでなくても。
가뜩이나	そうでなくても。それでなくても。ただでさえ	「부사」		そうでなくても。それでなくても。
가뜬하다	1.みがるだ【身軽だ】。きがるだ【気軽だ】 2.すっきりしている。かるがるとしている【軽々としている】	「형용사」		扱いやすく簡便である。 心身状態が軽くて気分が爽快である。
가뜬히	1.てがるく【手軽く】 2.かろやかに【軽やかに】	「부사」		扱いやすく、簡単に。 身も心も軽く爽やかに。
-가량	くらい・ぐらい【位】。ほど【程】。ばかり。ぜんご【前後】	「접사」	假量	「程度」の意を付加する接尾辞。
가련하다	かわいそうだ【可哀想だ・可哀相だ】。あわれだ【哀れだ】。ふびんだ【ふびんだ】	「형용사」	可憐하다	気の毒なほどかわいそうだ。
가렵다	かゆい【痒い】	「형용사」		肌を掻きたい感じがする。
가령	1.かりに【仮に】 2.たとえば【例えば】	「부사」	假令	仮定して話すと。 例えば。
가로	よこに【横に】	「부사」		横に長く。
가만	1.じっと 2.そのまま 3.じっくりと	「부사」		動かず、何もいわずに。 ことを解決するための対策や努力もなく。 心を落ち着かせ、注意を払って。
가만	まあ。ちょっと	「감탄사」		他人の言葉や行動を抑えたりしばらく考える時間を得たい時にいう語。
가만가만	そっと	「부사」		とても静かに注意深く。
가만가만히	そっと	「부사」		とても静かに注意深く。
가만히	1.だまって【黙って】 2.じっと 3.じっくりと 4.ひそかに【密かに】	「부사」		動かないか、何もいわずに。 ことを解決するための対策や努力もなく。 心を落ち着かせ、注意を払って。 他人に知られないように静かに。
가맣다	1.うすぐろい【薄黒い】。くろぐろとしている【黒々としている】 2.はるかにとおい【遥かに遠い】 3.すっかりわすれている【すっかり忘れている】。ぜんぜんしらない【全然知らない】 4.かずおおい【数多い】 5.くろい【黒い】。まっくろい【真っ黒い】	「형용사」		ぼんやりと黒みがかかっているほど薄黒い。 距離や時間があまりにも遠い。 記憶や知識が全くない。 数えられないほど多い。 驚きや痛みのせいで肌色が濃くなる。
가무댕댕하다	くろずんでいる【黒ずんでいる】	「형용사」		均一でない状態で黒ずんでいる。
가무잡잡하다	あさぐろい【浅黒い】	「형용사」		色がやや濃く、黒味がかっている。
가무칙칙하다	くろずんでいる【黒ずんでいる】	「형용사」		透き通った感じがせず、色が濃くて黒い。
가무퇴퇴하다	くろずんでいる【黒ずんでいる】	「형용사」		色が黒く、くすんでいる。
가물가물	1.ゆらゆら。ゆらゆらと。ちらちら。ちらちらと 2.ゆらゆら。ゆらゆらと。ちらちら。ちらちらと 3.ちらちら。ちらちらと。ぼうっと。かすかに。もうろうと	「부사」		小さい光が消えるか消えないかのように揺らめく様子。 何かが見え隠れするようにかすかに動く様子。 意識や記憶が薄れてはっきり浮かばない様子。
가물가물하다	1.かすかだ。ゆらゆらする。ゆらめく【揺らめく】。ちらちらする。ちらつく。みえかくれする【見え隠れする】 2.かすかだ。ゆらゆらする。ゆらめく【揺らめく】。みえかくれする【見え隠れする】 3.ぼうっとする。かすかだ。おぼろげだ。もうろうとする	「형용사」		小さくて弱い光が消えるか消えないかのようにかすかだ。  人や物などが見えるか見えないかのように、または声などが聞こえるか聞こえないかのようにかすかではっきりしていない。 意識や記憶が薄れてはっきりしていない。
가뭇가뭇하다	てんてんとくろずむ【点々と黒ずむ】。うすぐろい【薄黒い】	「형용사」		点々とぼんやりと黒みがかっている。
가벼이	1.かるく【軽く】。かるがると【軽々と】 2.てがるに【手軽に】。たやすく【容易く】。いいかげんに【いい加減に】 3.かるく【軽く】 4.かるく【軽く】。かるがるしく【軽々しく】。けいそつに【軽率に】。いいかげんに【いい加減に】 5.かるく【軽く】。かんたんに【簡単に】。すくなめに【少なめに】 6.かるく【軽く】 7.かるく【軽く】。かんたんに【簡単に】。たやすく【容易く】 8.かるく【軽く】。よわく【弱く】。さらさら。さらさらと 9.かるく【軽く】。かんたんに【簡単に】。かんべんに【簡便に】 10.かるく【軽く】。すばやく【素早く】。たやすく【容易く】 11.かるく【軽く】。かろやかに【軽やかに】。けいかいに【軽快に】。はれやかに【晴れやかに】	「부사」		重さを少なめに。 仕事の比重や価値、責任などを重要に考えずに。 罪科や失敗、損害などがたいした程度でなく。 考えや言行が真剣でなく。 負担にならないように簡単に。 大したことなく。 力を入れずに簡単に。 揺れたり揺らいだりする程度が弱く。 服装や化粧が大げさでなく、動きやすく。 体の動きが素早く。 気持ちが軽やかで軽快に。
가변적	かへんてき【可変的】	「관형사」		変わり得るさま、変わるさま。
가볍다	1.かるい【軽い】 2.かるい【軽い】 3.かるい【軽い】 4.かるい【軽い】 5.かるい【軽い】 6.みがるい【身軽い】 7.かるい【軽い】 8.かるい【軽い】 9.かるい【軽い】 10.かるい【軽い】 11.かるい【軽い】 12.かるい【軽い】 13.かるい【軽い】 14.かろやかだ【軽やかだ】 15.かるい【軽い】	「형용사」		重量が少ない。 占める割合、価値、責任などが大きくない。 罪や間違いの程度がそれほどひどくない。 病気や怪我などの程度がひどくない。 思考や言葉、行動などが慎重ではなく落ち着きがない。 動きが遅かったり鈍かったりせず、素早い。 あることをする時にかける努力や負担が少ない。 あまり大したことなく、重要ではない。 あることをするのに、さほど大変でなく、たやすい。 風の吹き具合や波のうち具合が弱い。 ある物が触れ合ったりぶつかり合ったりする程度がひどくなく弱い。 音や色合いが爽やかで明るい。 税金や罰金、処罰の程度が少ない。 身なりや化粧が派手すぎず、すっきりしていて動きやすい。 気持ちが軽くて楽しい。
가부간	いずれにせよ	「부사」	可否間	正しいか否か、賛成か反対かに関係なく、とにかく。
가부장적	かふちょうてき【家父長的】	「관형사」		家族の中で最も年長の権威ある男性が家族に対する支配権を行使するさま。
가뿐하다	1.かるい【軽い】 2.やさしい【やさしい】 3.みがるい【身軽い】 4.かるい【軽い】	「형용사」		簡単に持ち上げられるほど重量が軽い。 仕事や行動などが難しすぎず、易しい。 体の状態が軽くて気持ちいい。 心に負担がなく、軽くて気楽だ。
가뿐히	1.かるがると【軽々と】。かろやかに【軽やかに】 2.かるく【軽く】。簡単に【簡単に】 3.すっきり。すっかり 4.すっきり。けいかいに【軽快に】。かるいきもちで【軽い気持ちで】。ふたんなく【負担なく】	「부사」		簡単に手で持てるほどの重さで。 言葉や行動などを深刻さを帯びず気軽に。 体調が爽快に。 心の負担がなくすっきりした感じで。
가쁘다	いきぐるしい【息苦しい】	「형용사」		息するのが苦しいほど呼吸がとても速い。
가상하다	かんしんだ【感心だ】	「형용사」		人柄がよく、褒められるだけのことがある。
가소롭다	ばかげている	「형용사」	可笑롭다	あざ笑われ、無視されて当然だ。
가슬가슬하다	ざらざらしている	「형용사」		肌やものの表面が滑らかでなく、粗い。
가시적	かしてき【可視的】	「관형사」		人間が肉眼で感じられたり目に見えるさま。
가식적	かざりけのある【飾り気のある】。いつわりの【偽りの】。みせかけの【見せかけの】。きょしょくきょえいの【虚飾虚栄の】	「관형사」		言葉や行動を見栄で飾るさま。 
가없이	はてしなく【果てしなく】。むげんに【無限に】。かぎりなく【限りなく】	「부사」		限界や限りなどがなく。
가열차다	かれつだ【苛烈だ】。はげしい【激しい】。げきれつだ【激烈だ】	「형용사」	苛烈차다	主張や行動などが激烈で熱心である。
가열하다	かれつだ【苛烈だ】。はげしい【激しい】。きびしい【厳しい】	「형용사」		主張や行動などが激しくて熱心である。
가엽다	かわいそうだ。きのどくだ【気の毒だ】。あわれだ【哀れだ】。ふびんだ【不憫だ】	「형용사」		心が痛むほど、かわいそうで気の毒だ。
가엾다	かわいそうだ。きのどくだ【気の毒だ】。あわれだ【哀れだ】。ふびんだ【不憫だ】	「형용사」		心が痛むほど、かわいそうで気の毒だ。
가엾이	かわいそうに。きのどくに【気の毒に】。あわれに【哀れに】。ふびんに【不憫に】	「부사」		心が痛むほど、かわいそうで気の毒に。
가위	実に	「부사」		言わば本当に。
가장	もっとも【最も】。いちばん【一番】。なによりも【何よりも】	「부사」		他のどれよりもまさるさま。
가정적	1.かていてき【家庭的】 2.かていてき【家庭的】	「관형사」		家庭や家族に関するさま。また、そのようなさま。 家庭の事柄に誠実で、家族にやさしいさま。
가족적	1.かぞくてき【家族的】 2.かぞくてき【家族的】	「관형사」		家族のように身近で親しいさま。 家族と関係があるさま。
가중하다	かじゅうだ【加重だ】	「형용사」		程度がひどく、負担が重い。
가증스럽다	にくい【憎い】。にくらしい【憎らしい】。にくたらしい【憎たらしい】。にくにくしい【憎々しい】	「형용사」	可憎스럽다	他人の言い方･話し方や行動がひどく気に障るさま。
가지	しゅるい【種類】。しゅ【種】	「의존 명사」		物の種類を数える語。
가지다	1.て 2.ので	「보조 동사」		前の言葉の表す行動の結果や状態が維持されるという意を表す「補助動詞」。 前の言葉の表す行動や状態が、後の語の原因や手段・理由になるという意を表す「補助動詞」。
가지런하다	せいぜんとしている【整然としている】。きちんとしている。そろっている【揃っている】	「형용사」		大きさや模様に乱れがなく、整っている。
가지런히	せいぜんと【整然と】。きちんと。いちように【一様に】	「부사」		大きさや模様に乱れがなく、整っているさま。
가파르다	1.けわしい【険しい】。きゅうだ【急だ】。きりたっている【切り立っている】 2.いちじるしい【著しい】。めざましい【目覚しい】。けんちょ【顕著】	「형용사」		傾斜が急である。 数や量が変化する速度が速い。
가하다	1.かとする【可とする】 2.かとする【可とする】	「형용사」		正しい。よい。 可能だ。妥当だ。
가학적	かぎゃくてき【加虐的】	「관형사」		むごく残忍にいじめ苦しめるさま。
가혹하다	かこくだ【過酷だ】。きびしい	「형용사」	苛酷하다	耐えられないほどきびしすぎ、ひどすぎる。 
가히	1.さすが 2.まさに	「부사」	可히	あることに優れて。または、あることにゆとりをもって。 その通り本当に。または、どんな場合にも絶対に。
-각	かく【閣】	「접사」	閣	「大きくて高く建てた家」の意を付加する接尾辞。 
각	かく【各】	「관형사」		多くのものを一つ一つ離したそれぞれの、おのおのの。
각각	それぞれ	「부사」		一つ一つ、別々に。
각기	おのおの。それぞれ	「부사」		それぞれが別々に。
각박하다	1.せちがらい【世知辛い】。はくじょうだ【薄情だ】 2.やせる【痩せる】	「형용사」	刻薄하다	人情がなくて、きびしい。 土地が荒れやせている。
각별하다	かくべつだ【格別だ】	「형용사」	各別하다	関係や態度などが普通とは違って特別だ。
각별히	かくべつに【格別に】	「부사」	各別히	普通とは違って特別に。
각자	かくじで【各自で】	「부사」		別々に。
-간	1.かん【間】 2.	「접사」	間	「あいだ」の意を付加する接尾辞。 「場所」の意を付加する接尾辞。
간	1.あいだ・かん【間】 2.あいだ・かん【間】 3.	「의존 명사」		２つの場所と場所の間。 ある関係にある人や団体の間柄。 どちらであっても関係ないという意を表す語。
간간이	1.ときどき【時時】。ときおり【時折】。ときたま【時たま】 2.ところどころ。あちこち	「부사」	間間이	時間を置いて、ときおり。 距離を置いて、あちこちに。
간간하다		「형용사」		食欲をそそらせる程度に塩味が利いている。 
간결하다	1.シンプルだ  2.かんけつだ【簡潔だ】	「형용사」	簡潔하다	むだなところがなく、単純で簡単だ。  文章や話にむだがなく、簡単ではっきりしている。
간곡하다	ていちょうだ【丁重だ】。ていねいだ【丁寧だ】	「형용사」	懇曲하다	態度や姿勢などに切なるものがあって、真心がこもっている。
간곡히	こんこんと【懇懇と】。ていちょうに【丁重に】	「부사」	懇曲히	真心がこもっている切なる態度や姿勢で。
간교하다	わるがしこい【悪賢い】。ずるがしこい【狡賢い】	「형용사」	奸巧하다	自分の利益のために、人をだましたり害したりする悪いはかりごとをめぐらす。
간단명료하다	かんたんめいりょうだ【簡単明瞭だ】	「형용사」	簡單明瞭하다	簡単で明確だ。
간단하다	1.かんたんだ【簡単だ】 2.かんたんだ【簡単だ】 3.かんたんだ【簡単だ】	「형용사」	簡單하다	長くない、または複雑でなない。 面倒でない、または多くない。 単純で手軽い。
간단히	1.かんたんに【簡単に】 2.かんたんに【簡単に】 3.かんたんに【簡単に】	「부사」	簡單히	物事が長くならないように。または、複雑でないように。  手数がかからないように。手軽に。 やり方や扱い方がかなり容易に。
간데없다		「형용사」		消えたり、行方が分からなかったりする。 少しの狂いもなく適合するさま。
간데없이	あとかたもなく【跡形もなく】	「부사」		消えてどこに行ってしまったかわからず。
간드랑간드랑	ゆらゆら	「부사」		小さくて軽い物がぶらさがって、ゆっくりと横に揺れ動き続けるさま。
간드러지다	なまめかしい【艶かしい】	「형용사」		声や動作が人の心を動かすほど、きれいで愛嬌がある。
간들간들	1.そよそよと 2.ぶらぶら 3.ゆらゆら 4.かろうｓじて【辛うじて】	「부사」		風が軽くふくさま。 態度が不良でやや生意気に振舞うさま。 小さいものがあっちこっち軽く揺らぐさま。 危なげにぶら下がってかろうじてくっついているさま。
간략하다	かんりゃくだ【簡略だ】	「형용사」	簡略하다	簡単で手短だ。
간략히	かんりゃくに【簡略に】	「부사」	簡略히	簡単で手短に。
간명하다	かんめいだ【簡明だ】	「형용사」	簡明하다	簡単ではっきりしている。
간명히	かんめいに【簡明に】	「부사」	簡明히	簡単明瞭に。
간사스럽다		「형용사」	奸詐스럽다	他のたくらみがあって、いつわりで人の機嫌をとるような性質がある。 気持ち悪いほど愛想が良すぎて、媚びすぎる性質がある。
간사하다		「형용사」		原則なく自分の利益によって変わる性質がある。
간사하다		「형용사」		他の腹積もりがあって、いつわりで人の機嫌をとるような性質がある。 気持ち悪いほど愛想が良すぎて、媚びすぎる性質がある。
간소하다	かんそだ【簡素だ】	「형용사」	簡素하다	簡単で質素だ。
간신히		「부사」	艱辛히	辛うじて、やっと。
간악하다	かんあくだ【奸悪だ】	「형용사」	奸惡하다	邪悪であくどい。
간절하다	1.せつじつだ【切実だ】  2.こんせつだ【懇切だ】。つうせつだ【痛切だ】	「형용사」	懇切하다	誠意や真心などを尽くす。  何かを願う気持ちがとても強い。
간절히	1.せつに【切に】 2.せつに【切に】	「부사」	懇切히	情と心を極めて。 何かを願う気持ちがとても強く。
간접적	かんせつてき【間接的】。とおまわし【遠回し】。えんきょく【婉曲】	「관형사」		間に何かを経由して繫がるさま。
간지럽다	1.くすぐったい 2.くすぐったい	「형용사」		何かが体に触れたり、誰かに触られたりして、笑いが出たり我慢できない感じがする。 誰かが自分について話しをするとか、見られている気がして恥ずかしい、または、気になる。
간질간질	1.こそばゆく 2.むずむずと	「부사」		くすぐったい感じが続く状態。 何かをやりたくて我慢できない状態。
간질간질하다	1.こそばゆい 2.むずむずする。うずうずする	「형용사」		しきりに痒い。 あることを我慢できないほど、とてもやりたい。
간편하다	かんべんだ【簡便だ】	「형용사」	簡便하다	簡単で便利だ。 
간편히	かんべんに【簡便に】	「부사」	簡便히	簡単かつ便利に。
간헐적	かんけつてき【間欠的】	「관형사」		一定の時間間隔を置いて繰り返されること。
간혹	たまに。まれに【稀に】。めったに【滅多に】	「부사」		とても珍しいさま。
갈가리	きれぎれに【切れ切れに】。ずたずたに。やつざきに【八つ裂きに】	「부사」		細かくいくつにも千切れているさま。
갈그락갈그락	ごしごし	「부사」		どこかにくっ付いているものをひっきりなしにこする音。
갈기갈기	ちぎれちぎれに【千切れ千切れに】。きれぎれに【切れ切れに】	「부사」		細かくいくつにも千切れているさま。
갈래갈래	ちぎれちぎれに【千切れ千切れに】。ずたずたに。ばらばらに	「부사」		いくつもの筋に引き裂かれたり、破れているさま。
갈수록	ますます【益益】。しだいに【次第に】。だんだん【段段】	「부사」		時間がたつにつれて次第にもっと。
갈팡질팡	うおうさおう【右往左往】。うろうろ。おろおろ。まごまご	「부사」		どうしたら良いか分からずに、あちらこちら迷うさま。
-감	かん【感】	「접사」	感	「感情」の意を付加する接尾辞。 
감각적	1.かんかくてき【感覚的】 2.かんかくてき【感覚的】	「관형사」		感覚を刺激するさま。 感覚にかかわったり、敏感なさま。
감감	1.はるか【遥か】。はるばる【遥遥】 2.まったく【全く】。すっかり。まるきり 3.まったく【全く】。ぜんぜん【全然】。すっかり。まるきり	「부사」		見えたり聞こえたりするのが大変遠いさま。 ある事実に関する知識や記憶が全くないさま。 消息や連絡が全くないさま。
감감하다	1.はるかだ【遥かだ】 2. 3.なしのつぶてだ【梨のつぶてだ】。おとさたもない【音沙汰もない】	「형용사」		よく見えたり聞こえたりしないくらい、大変遠い。 ある事実に関する知識や記憶が全くない。 消息や連絡が全くない。
감개무량하다	かんがいむりょうだ【感慨無量だ】。かんむりょうだ【感無量だ】	「형용사」	感慨無量하다	過去のことが思い浮かんで、心の中で感じられる感動が大変大きい。
감격스럽다	かんげきてきだ【感激的だ】。かんきわまる【感極まる】	「형용사」	感激스럽다	心に感じる感動が大きい。
감격적	かんげきてき【感激的】。かんどうの【感動の】	「관형사」		心に感じられる感動が大きいさま。
감동적	かんどうてき【感動的】	「관형사」		強く胸を打たれ心を動かされるさま。
감미롭다	1.かんびだ【甘美だ】 2.かんびだ【甘美だ】	「형용사」	甘味롭다	甘い味がする。 心地よくうっとりとした気持ちになる。
감사하다	かんしゃする【感謝する】	「형용사」		ありがたい気持ちがある。
감사히	ありがたく	「부사」	感謝히	有難い気持ちで。
감상적	かんしょうてき【感傷的】 	「관형사」		些細なことにもすぐ悲しんだり感動するさま。また、そのような思いを引き起こすさま。 
감성적	1.かんせいてき【感性的】 2.かんしょうてき【感傷的】。センチメンタル 	「관형사」		感性に関するさま。 感性がするどい、または豊かであるさま。
감정적	かんじょうてき【感情的】 	「관형사」		感情や気分によるさま。
감지덕지	みにあまる【身に余る】	「부사」	感之德之	大変有難く思うさま。
감쪽같다		「형용사」		人に気付かれないほど、繕ったり直したりした跡がない。
감쪽같이	あとかたもなく【跡形もなく】	「부사」		他人に気づかれないほど、飾るか直した跡もなく。
감탄스럽다	かんしんする【感心する】。かんぷくする【感服する】	「형용사」	感歎스럽다	心が動かされて尊敬できるほどだ。
감히	1.あえて【敢えて】 2.さしでがましく【差し出がましく】	「부사」	敢히	怖い、または厳しいが、それでも。 言葉や行動が身のほど知らずに。
갑갑하다	1.きゅうくつだ【窮屈だ】 2.せまくるしい【狭苦しい】 3.たいくつだ【退屈だ】。じれったい。もどかしい 4.つかえる。おもくるしい【重苦しい】 5.じれったい。もどかしい	「형용사」		体が引き締められて息苦しい感じがする。 空間が狭くて窮屈な感じがする。 話や動きが遅くてつまらなかったりもどかしくなったりする。 胸やお腹が塞がった感じがする。 物事がなかなか思うようにならないので、いらいらして気持ちが落ち着かない。
갑자기	きゅうに【急に】	「부사」		考える間もなくいきなり。
갑작스럽다	おもいがけない【思いがけない】。とつぜんだ【突然だ】。よきしない【予期しない】。ふいだ【不意だ】	「형용사」		出来事が急に起こって意外だ。
갑작스레	きゅうに【急に】・いきなり	「부사」		あることが急におこって意外な感じがするように。
값비싸다	1.こうかだ【高価だ】 2.とうとい【尊い】	「형용사」		値段が高い。 何かをするのに払う努力や労力が大きい。
값싸다	1.やすっぽい【安っぽい】 2.やすっぽい【安っぽい】 3.やすっぽい【安っぽい】	「형용사」		物事を買うか使うのにかかる費用が少ない。 価値、または質が低い。 行動が不注意で軽い。
값있다	1.こうきだ【高貴だ】 2.こうきだ【高貴だ】	「형용사」		物品などの価値がきわめて高い。 大きな価値ややりがいがある。
값지다	1.めぼしい 2.とうとい【尊い】。きちょうだ【貴重だ】。こうきだ【高貴だ】	「형용사」		値段が高い分だけ値打ちがある。 価値や意義が大きい。
갓	ばかり	「부사」		たった今。
강-		「접사」		「異物が混ざっていない」という意を付加する接頭辞。 「乾いている」または「水気のない」という意を付加する接頭辞。 「むりやりな」という意を付加する接頭辞。
강-	きょう【強】	「접사」		「とても強い」または「ひどい」という意を付加する接頭辞。
강건하다	1.ちからづよい【力強い】 2.ちからづよい【力強い】	「형용사」		意志や精神などが正しくて強い。 文の書き方や話し方などが強くて力がある。
강건하다	ごけんこうだ【ご健康だ】	「형용사」		目上の人の心身に病気がなく元気である。
강건하다	こうけんだ【康健だ】。すこやかだ【健やかだ】	「형용사」		体が丈夫で元気だ。
강경하다	ごうきだ【剛毅だ】	「형용사」		性格や精神が正しくて強い。
강경하다	きょうこうだ【強硬だ】	「형용사」		態度や主張などが妥協や譲歩をしないほど強い。
강경히	きょうこうに【強硬に】	「부사」	強硬히	態度や主張などを妥協したり譲ったりしないほど強く。
강고하다	きょうこだ【強固だ】	「형용사」	強固하다	力強くて丈夫だ。
강녕하다	こうねいだ【康寧だ】	「형용사」	康寧하다	目上の人の心身が元気で安らかだ。
강대하다	きょうだいだ【強大だ】	「형용사」	強大하다	国家や勢力が力強くて大きい。
강력하다	1.きょうりょくだ【強力だ】 2.きょうりょくだ【強力だ】 3.きょうりょくだ【強力だ】	「형용사」	強力하다	力や影響が強い。 簡単に譲ったり、志を曲げない。 可能性が高い。
강력히	きょうりょくに【強力に】	「부사」	強力히	強い力や影響で。
강렬하다	きょうれつだ【強烈だ】	「형용사」	強烈하다	とても強くて激しい。
강렬히	きょうれつに【強烈に】	「부사」	強烈히	とても強くて勢いよく。
강마르다	1.ひからびる【干からびる】 2.やせほそる【痩せ細る】。やせこける【痩せこける】。やせすぎだ【痩せ過ぎだ】	「형용사」		水分がなく、かさかさに乾ききる。 体に肉付きがなく、ひどくやせる。
강박적	1.きょうはくてき【強迫的】  2.きょうはくてき【強迫的】 	「관형사」		他人の意思を無理に押し付けたり、自分の意思をむりやり強いるさま。 心の中である一つの思いや感情にとらわれて、とてもひどい圧迫を感じるさま。 
강성하다	きょうせいだ【強盛だ】	「형용사」	強盛하다	勢いが強くて盛んだ。
강압적	きょうあつてき【強圧的】 	「관형사」		力や権力を利用して強引に圧迫したり抑えるさま。 
강인하다	きょうじんだ【強靭だ】	「형용사」	強靭하다	性格や性質が強くてねばり強い。
강제적	きょうせいてき【強制的】 	「관형사」		権力や力を利用して他人がやりたがらないことを無理にさせるさま。 
강직하다	ごうちょくだ【剛直だ】	「형용사」	剛直하다	気性が強くて正しい。
강퍅하다	ごうふくだ【剛愎だ】	「형용사」	剛愎하다	気難しくて意地っ張りだ。
강하다	1.つよい【強い】 2.つよい【強い】	「형용사」		物が硬くて強固だ。 性格がまっすぐで頼もしい。
강하다	1.つよい【強い】 2.つよい【強い】 3.つよい【強い】 4.つよい【強い】	「형용사」		力が強い。 水準や程度が高い。 精神的にしっかりしていて意志を曲げない。 何かに耐える力が強く、ことに対処する能力に優れている。
